user_id,time_add,title,total
7457,1487770219,Reggae &9
7457,1462175240,Ska,9
7457,1448373160,Hits,9
7457,1450348670,Electro Swing,9
7457,1462175306,Rock-Klassiker,9
7457,1452174104,Roadtrip,9
7457,1480930759,Zen,9
7457,1480893758,Traurige Songs,9
17677,1233859803,Rock,3
17677,1231770430,Classic Rock,3
17677,1240944714,Blues,3
9777,1231339021,Vocal Jazz,1
5409,1439879788,R&B,1
7868,1222348411,Musique de Film,1
10800,1223555962,Heavy Metal,1
17643,1234157275,Soul,1
8011,1366733156,Hard,1
14578,1215901960,Heavy Metal,1
8938,1463820551,Die 80er,2
8938,1463820519,Die 90er,2
18451,1219945548,Indie Pop,1
9725,1337765621,Hits,1
9928,1256219383,Trip hop,1
14258,1225298707,R&B,1
13628,1212406052,Funk,1
7964,1440663545,Candlelight-Dinner,1
12999,1283624060,Dancefloor,2
12999,1465068569,Chill Out,2
15882,1257948233,Dancefloor,1
14455,1258702044,Rock,1
9040,1214861544,Vocal Jazz,1
16543,1260778914,Rock,1
13495,1222259191,Musique de Film,3
13495,1222281501,Charts,3
13495,1222259310,Reggae & Ska & Dub,3
17152,1214290487,Vocal Jazz,2
17152,1214391148,Musique de Film,2
16302,1387374355,Folk Radio UK,1
18290,1444826206,Party,1
17293,1238017728,Reprises - Covers,1
17475,1221145809,Heavy Metal,1
14400,1227871696,Dancefloor,2
14400,1213604862,Rap,2
13327,1446915874,Electro Swing,1
15256,1469035830,Bossa Nova,1
14215,1462611615,Old School Hip-Hop,1
8955,1229622420,Rock,5
8955,1228489700,Pop,5
8955,1223031063,Classic Rock,5
8955,1249209995,Rock en Seine 2014,5
18367,1230554070,Reggae & Ska & Dub,1
14692,1243780696,Französische Chansons,1
13211,1220867392,Rock,1
19685,1258462353,Hits,1
17974,1468902555,Roadtrip,1
15239,1277154911,Rock,2
15239,1288911539,Vocal Jazz,2
14518,1265410570,Trip hop,1
14387,1219160999,Rock,1
19509,1304074025,Rock en Seine 2014,2
19509,1409410163,Scopitone,2
17741,1253423543,Pop,10
17741,1253423665,Hard,10
17741,1253423399,Dancefloor,10
17741,1253423680,Heavy Metal,10
17741,1253423507,R&B,10
17741,1253423527,Urban Style,10
17741,1253423401,Hits,10
17741,1253423201,Techno Parade 2011,10
17741,1253423743,Charts,10
17026,1263899609,Hits,1
15486,1242319856,Pop,1
18485,1216850610,Electro,1
18377,1227604082,Französische Variété ,2
18377,1227264133,Pop,2
18457,1464528366,Klassik,13
18457,1464528407,Filmmusik,13
18457,1464528403,Jazz,13
18457,1464528398,Hits,13
18457,1464528358,Nachmittag im Sommer,13
18457,1464528388,TAKE IT EASY,13
18457,1464528418,Sonniger Morgen,13
18457,1464528362,Coffee-Lounge,13
18457,1464528370,Konzentration,13
18457,1464528354,Die 90er,13
18457,1464528399,Verregneter Tag,13
